,edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
0,[IDH1->-SRSF2],"[1, 6, 8, 9, 10, 12, 13, 14, 16, 17, 19, 25, 27, 28, 32, 35, 38, 39, 40, 42, 49, 53, 60, 63, 66, 68, 70, 72, 75, 77, 81, 82, 84, 85, 86, 90, 91, 94, 96, 99, 100, 102, 105, 109, 110, 112, 113, 115, 117, 118]","[1, 6, 8, 9, 10, 12, 13, 14, 16, 17, 19, 22, 25, 27, 28, 32, 34, 35, 38, 39, 40, 42, 49, 53, 56, 60, 63, 66, 68, 70, 72, 75, 77, 81, 82, 84, 85, 86, 90, 91, 94, 96, 99, 100, 102, 105, 109, 110, 112, 113, 115, 117, 118]",50,0.4166666666666667,0.1331942554799697,0.0007566561858825,0.2834724111866969,10.305320529895296,1.6289477980684086e-23,0.192579365079365,0.0008696444318468,0.2240873015873016,7.598824016241541,9.917731713121626e-16,,,,,
1,[IDH2->-SRSF2],"[0, 3, 7, 11, 15, 20, 23, 24, 26, 29, 30, 34, 37, 41, 45, 46, 47, 48, 50, 51, 52, 56, 59, 61, 62, 65, 67, 71, 73, 76, 79, 80, 83, 87, 88, 93, 97, 103, 111, 114, 116, 119]","[0, 3, 7, 11, 15, 20, 23, 24, 26, 29, 30, 34, 37, 41, 45, 46, 47, 48, 50, 51, 52, 56, 59, 61, 62, 65, 67, 71, 73, 76, 79, 80, 83, 87, 88, 93, 97, 103, 104, 109, 111, 114, 116, 119]",42,0.35,0.10995880574452,0.0006201072280643,0.2400411942554799,9.63945281957089,6.867279914999826e-21,0.1551587301587301,0.000705183925422,0.1948412698412698,7.337189726884159,9.60934869634802e-15,,,,,
2,[SRSF2->-KRAS],"[1, 3, 7, 9, 11, 15, 17, 23, 26, 32, 34, 41, 46, 50, 51, 60, 61, 63, 68, 75, 80, 82, 97, 102, 111, 113, 114, 115, 118, 119]","[1, 3, 7, 9, 11, 15, 17, 22, 23, 26, 32, 34, 41, 46, 50, 51, 60, 61, 63, 68, 75, 80, 82, 97, 102, 111, 113, 114, 115, 118, 119]",30,0.25,0.0884953703703703,0.0004802771133401,0.1615046296296296,7.369517089938547,1.6945862982538517e-13,0.1183928571428571,0.000525068105946,0.1316071428571428,5.74343408768576,8.383170805043644e-10,,,,,
3,[SRSF2->-NRAS],"[0, 3, 6, 9, 12, 16, 38, 45, 48, 62, 65, 73, 82, 83, 86, 88, 90, 96, 100, 110, 111, 114, 118, 119]","[0, 3, 6, 9, 12, 16, 38, 45, 48, 62, 65, 73, 82, 83, 86, 88, 90, 96, 100, 104, 110, 111, 114, 118, 119]",24,0.2,0.0712462207105064,0.0003891176861339,0.1287537792894936,6.527088485235812,1.0078295131292703e-10,0.0951785714285714,0.0004261766975308,0.1048214285714286,5.077561874848293,8.284023491974053e-08,,,,,
4,[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[3, 7, 11, 15, 23, 26, 34, 41, 46, 50, 51, 61, 80, 97, 111, 114, 119]","[3, 7, 11, 15, 23, 26, 34, 41, 46, 50, 51, 61, 80, 97, 111, 114, 119]",17,0.1416666666666666,0.0071850694444444,5.6539507308515754e-05,0.1344815972222222,17.88491369160483,3.307582828601843e-23,0.0198611111111111,0.0001404996141975,0.1218055555555555,10.276128611932972,1.1760294501695428e-15,,,,,
5,[IDH1-/-IDH2],"[5, 21, 33, 34, 43, 55, 56, 57, 69, 74, 95, 98, 101, 107, 109]","[5, 21, 33, 34, 43, 55, 56, 57, 69, 74, 95, 98, 101, 107, 109]",15,0.125,0.0582175925925926,0.0002488024048353,0.0667824074074074,4.2338433351677285,7.0562865868459495e-06,0.0958333333333333,0.0001369598765432,0.0291666666666666,2.4922414822070937,0.0091449474165523,,,,,
6,[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[1, 9, 17, 32, 60, 63, 68, 75, 82, 102, 113, 115, 118]","[1, 9, 17, 22, 32, 34, 60, 63, 68, 75, 82, 102, 113, 115, 118]",13,0.1083333333333333,0.0056540509259259,4.452303995824045e-05,0.1026792824074074,15.388292050547602,8.234932775668954e-17,0.0153174603174603,0.0001088594812925,0.093015873015873,8.915053140861776,2.745851267195455e-11,,,,,
7,[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[6, 9, 12, 16, 38, 82, 86, 90, 96, 100, 110, 118]","[6, 9, 12, 16, 38, 82, 86, 90, 96, 100, 110, 118]",12,0.1,0.004540207478494,3.591297799665204e-05,0.0954597925215059,15.92922975640259,3.825751781282788e-17,0.0131547619047619,9.35630039052658e-05,0.0868452380952381,8.978296259052359,1.0969195507294006e-11,,,,,
8,[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[0, 3, 45, 48, 62, 65, 73, 83, 88, 111, 114, 119]","[0, 3, 45, 48, 62, 65, 73, 83, 88, 104, 111, 114, 119]",12,0.1,0.0052515519832271,4.147163267457741e-05,0.0947484480167728,14.712840888483472,1.2774706337033057e-15,0.0138591269841269,9.931293698034768e-05,0.086140873015873,8.643832771406807,1.1946876621475842e-10,,,,,
9,[KRAS-/-NRAS SRSF2->-NRAS SRSF2->-KRAS],"[3, 9, 82, 111, 114, 118, 119]","[3, 9, 82, 111, 114, 118, 119]",7,0.0583333333333333,0.0036379629629629,2.8315044152949247e-05,0.0546953703703703,10.278788877877858,3.072e-09,0.0074603174603174,5.351473922902495e-05,0.0508730158730158,6.954257661559009,4.2328042328042324e-07,,,,,
10,[KRAS-/-NRAS IDH1->-NRAS IDH1->-KRAS IDH1->-SRSF2 SRSF2->-KRAS SRSF2->-NRAS],"[9, 82, 118]","[9, 82, 118]",3,0.025,0.0001776562499999,1.4687705593532983e-06,0.02482234375,20.48169083115751,2.9296875e-07,0.0011904761904761,9.25847190728143e-06,0.0238095238095238,7.824940664487837,3.968253968253968e-05,,,,,
11,[KRAS-/-NRAS IDH2->-NRAS IDH2->-KRAS IDH2->-SRSF2 SRSF2->-KRAS SRSF2->-NRAS],"[3, 111, 114, 119]","[3, 111, 114, 119]",4,0.0333333333333333,0.0002904938271604,2.3991837067520194e-06,0.0330428395061728,21.33268935547553,5.4613333333333335e-09,0.0013888888888888,1.1072530864197533e-05,0.0319444444444444,9.600014517991344,2.7777777777777775e-06,,,,,
12,[SRSF2->-BCOR],"[22, 61, 72, 83, 88, 117]","[22, 59, 61, 72, 83, 87, 88, 117]",6,0.05,0.0187424886621315,0.0001092873762612,0.0312575113378684,2.989987670975238,0.0070526762462797,0.0249206349206349,0.0001229765054169,0.025079365079365,2.2615461974105155,0.0307612020502645,,,,,
13,[IDH2->-KIT],"[52, 62, 87, 108, 116]","[37, 45, 52, 62, 87, 98, 106, 108, 116]",5,0.0416666666666666,0.0176839096749811,0.0001050661652462,0.0239827569916855,2.339740357786497,0.0328063934555303,0.024265873015873,0.0001236233150667,0.0174007936507936,1.5650162965430234,0.1172172619047619,,,,,
14,[IDH2->-BCOR],"[59, 61, 83, 87, 88]","[59, 61, 83, 87, 88, 101]",5,0.0416666666666666,0.0110272108843537,6.49355726346661e-05,0.0306394557823129,3.802241605468353,0.0009566326530612,0.0143650793650793,7.293792517006801e-05,0.0273015873015873,3.196768557420293,0.0033068783068783,,,,,
15,[IDH2->-BCOR SRSF2->-BCOR IDH2->-SRSF2],"[61, 83, 88]","[59, 61, 83, 87, 88]",3,0.025,0.0011569241982507,9.22732842715821e-06,0.0238430758017492,7.849180028353533,0.0001312010295189,0.0029960317460317,2.2047823759133284e-05,0.0220039682539682,4.686171143070262,0.0020133377425044,,,,,
16,[IDH1->-KIT],"[9, 18, 32, 58, 113]","[9, 18, 32, 58, 98, 113]",5,0.0416666666666666,0.0146412037037037,8.278343085562415e-05,0.0270254629629629,2.97030763669562,0.0079481336805555,0.021031746031746,9.503338372385992e-05,0.0206349206349206,2.1167263026345946,0.0438988095238095,,,,,
17,[IDH1->-PHF6],"[17, 63, 81, 94, 110]","[13, 17, 63, 81, 94, 110]",5,0.0416666666666666,0.0159396258503401,8.73143113112592e-05,0.0257270408163265,2.753259326806911,0.0125598214285714,0.0204365079365079,9.498141849332328e-05,0.0212301587301587,2.1783813773085186,0.0391666666666666,,,,,
18,[IDH1->-TP53],"[42, 49, 58, 81, 112]","[42, 49, 58, 81, 112]",5,0.0416666666666666,0.0119722222222222,7.05516975308642e-05,0.0296944444444444,3.535260905078512,0.0018666666666666,0.0165277777777777,8.053626543209878e-05,0.0251388888888888,2.801240101773575,0.0087499999999999,,,,,
19,[SRSF2-/-TP53],"[30, 49, 81, 112]","[30, 42, 49, 50, 81, 97, 111, 112]",4,0.0333333333333333,0.0097592592592592,6.067815500685871e-05,0.023574074074074,3.0263451720963923,0.0108222222222222,0.0125,7.013888888888888e-05,0.0208333333333333,2.4875929755249726,0.0272592592592592,,,,,
20,[SRSF2-/-TP53 IDH1->-TP53 IDH1->-SRSF2],"[49, 81, 112]","[42, 49, 81, 112]",3,0.025,0.0015875,1.2353454861111111e-05,0.0234125,6.661216881983773,0.00024,0.0036111111111111,2.5540123456790123e-05,0.0213888888888888,4.2323027664557085,0.0027777777777777,,,,,
21,[SRSF2->-KIT],"[9, 32, 62, 113]","[9, 32, 37, 45, 52, 62, 87, 113, 116]",4,0.0333333333333333,0.0201954837490551,0.0001159917428782,0.0131378495842781,1.2198621276728747,0.197312183392237,0.0258531746031746,0.0001299221308893,0.0074801587301587,0.6562498940369585,0.3749128401360545,,,,,
22,[KRAS->-KIT SRSF2->-KIT IDH1->-KIT IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[9, 32, 113]","[9, 32, 113]",3,0.025,9.765625e-05,8.106231689453125e-07,0.02490234375,27.65863337187866,5.960464477539064e-08,0.0007738095238095,6.200987339380196e-06,0.0242261904761904,9.728697619696486,1.6534391534391532e-05,,,,,
23,[IDH1->-U2AF1],"[9, 54, 70, 118]","[9, 54, 70, 118]",4,0.0333333333333333,0.0104930555555555,5.9783902391975305e-05,0.0228402777777777,2.953991567906374,0.0097222222222222,0.0142261904761904,6.646471088435375e-05,0.0191071428571428,2.343690127973478,0.03125,,,,,
24,[SRSF2->-NPM1],"[9, 29, 102, 111]","[9, 19, 29, 102, 111]",4,0.0333333333333333,0.014849537037037,7.931603116426613e-05,0.0184837962962962,2.075442406855965,0.0571903935185185,0.0190873015873015,8.507968002015621e-05,0.0142460317460317,1.544475359083623,0.1374999999999999,,,,,
25,[KIT-/-SRSF2],"[37, 52, 87, 116]","[9, 32, 37, 45, 52, 62, 87, 113, 116]",4,0.0333333333333333,0.0179324452003023,8.857248661358807e-05,0.0154008881330309,1.6364259115923163,0.1163836734693877,0.0232936507936507,8.88022801713278e-05,0.0100396825396825,1.0653882967226591,0.2662585034013605,,,,,
26,[KIT-/-SRSF2 IDH2->-KIT IDH2->-SRSF2],"[52, 87, 116]","[37, 45, 52, 62, 87, 116]",3,0.025,0.0024310070456754,1.859693498359143e-05,0.0225689929543245,5.233491155882053,0.0012821457725947,0.0052579365079365,3.5482410556815314e-05,0.0197420634920634,3.314255502239162,0.0113333333333333,,,,,
27,[SRSF2->-ETV6],"[76, 96, 110]","[20, 59, 66, 76, 96, 110]",3,0.025,0.0155061885865457,8.58381309023725e-05,0.0094938114134542,1.0247088200473835,0.271774275186265,0.0199404761904761,9.494480662635424e-05,0.0050595238095238,0.5192470487808949,0.4540422650541698,,,,,
28,[TET2->-SRSF2],"[11, 19, 62]","[11, 19, 49, 59, 62, 72]",3,0.025,0.0158176020408163,8.748830981159471e-05,0.0091823979591836,0.981705214077941,0.2845248073719283,0.0198809523809523,9.511448097757622e-05,0.0051190476190476,0.5248870383107979,0.4514668367346939,,,,,
29,[IDH1->-SMC3 SMC3-/-SRSF2 IDH1->-SRSF2],"[35, 81, 94]","[27, 35, 81, 94]",3,0.025,0.0022479166666666,1.7037842881944443e-05,0.0227520833333333,5.5120590978208135,0.0007199999999999,0.0051388888888888,3.377700617283951e-05,0.0198611111111111,3.417377568550312,0.0083333333333333,,,,,
30,[IDH1->-DNMT3A],"[84, 94, 110]","[53, 84, 94, 110]",3,0.025,0.0108146258503401,5.8371602977925864e-05,0.0141853741496598,1.856692508811059,0.0973852040816326,0.0137698412698412,6.303697404887881e-05,0.0112301587301587,1.414452006000949,0.1857142857142857,,,,,
31,[KIT->-IDH2],"[45, 98, 106]","[37, 45, 52, 62, 87, 98, 106, 108, 116]",3,0.025,0.0176839096749811,0.0001050661652462,0.0073160903250188,0.7137524597606728,0.357982393707483,0.024265873015873,0.0001236233150667,0.0007341269841269,0.0660269133091129,0.6080753968253971,,,,,
32,[SRSF2->-PHF6 IDH1->-PHF6 IDH1->-SRSF2],"[17, 63, 110]","[13, 17, 63, 81, 94, 110]",3,0.025,0.0023275145772594,1.816535375545644e-05,0.0226724854227405,5.319578247188166,0.0014392481322886,0.0054761904761904,3.870622323003276e-05,0.0195238095238095,3.138153359757487,0.0166887125220458,,,,,
33,[EZH2-/-SRSF2],"[8, 87, 115]","[8, 23, 76, 87, 104, 115]",3,0.025,0.0079351851851851,4.235691015089163e-05,0.0170648148148148,2.622040792015369,0.0266666666666666,0.0105555555555555,4.753086419753086e-05,0.0144444444444444,2.095139706465989,0.0666666666666666,,,,,
34,[SRSF2->-GATA2],"[1, 22, 51]","[1, 22, 47, 51]",3,0.025,0.011125,6.0942708333333333e-05,0.013875,1.7773465538784328,0.10948,0.0141666666666666,6.631944444444444e-05,0.0108333333333333,1.3302757262512928,0.2056249999999999,,,,,
35,[KRAS->-GATA2],"[1, 22, 51]","[1, 22, 51]",3,0.025,0.0087916666666666,4.694270833333333e-05,0.0162083333333333,2.365670686248716,0.042,0.01125,5.052083333333333e-05,0.01375,1.9344942598098125,0.0875,,,,,
