edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH1->-SRSF2],"[0, 6, 7, 9, 13, 18, 21, 23, 27, 28, 31, 32, 38, 39, 40, 41, 42, 45, 49, 51, 52, 54, 55, 59, 61, 66, 68, 72, 75, 77, 78, 79, 80, 87, 88, 93, 94, 100, 102, 110, 114, 115, 116]","[0, 6, 7, 9, 13, 18, 21, 22, 23, 27, 28, 31, 32, 38, 39, 40, 41, 42, 45, 49, 51, 52, 54, 55, 59, 61, 66, 68, 72, 75, 77, 78, 79, 80, 81, 87, 88, 89, 93, 94, 100, 102, 110, 114, 115, 116]",43,0.3583333333333333,0.1119413737717309,0.0006415943251753,0.2463919595616024,9.727388793377012,1.093132488623308e-20,0.1611111111111111,0.0007361008755353,0.1972222222222222,7.2692094216459155,3.3239662618661404e-14,,,,,
[IDH2->-SRSF2],"[3, 8, 12, 15, 16, 17, 20, 26, 30, 36, 47, 50, 60, 64, 65, 70, 71, 76, 81, 82, 84, 85, 89, 92, 97, 108, 111, 112, 117, 118, 119]","[3, 8, 12, 15, 16, 17, 20, 21, 26, 30, 36, 47, 50, 60, 64, 65, 70, 71, 76, 81, 82, 84, 85, 87, 89, 92, 97, 104, 108, 111, 112, 117, 118, 119]",31,0.2583333333333333,0.0857314814814814,0.0004865422132201,0.1726018518518519,7.825015163169863,7.34092942735295e-14,0.1226388888888888,0.0005575810185185,0.1356944444444444,5.746561737611991,2.895804326035929e-09,,,,,
[SRSF2->-NRAS],"[7, 9, 12, 13, 15, 21, 27, 39, 41, 42, 45, 47, 49, 50, 51, 68, 72, 76, 80, 82, 100, 102, 108, 115, 118]","[7, 9, 12, 13, 15, 21, 27, 39, 41, 42, 45, 47, 49, 50, 51, 68, 72, 76, 80, 82, 100, 102, 104, 108, 115, 118]",25,0.2083333333333333,0.0717638888888888,0.0003954724151234,0.1365694444444444,6.867449028305104,1.3289991352293234e-11,0.097281746031746,0.0004364878590325,0.1110515873015873,5.315433465241746,2.07215823509075e-08,,,,,
[SRSF2->-KRAS],"[9, 17, 20, 38, 40, 65, 72, 75, 78, 82, 84, 88, 110, 111, 117, 118, 119]","[9, 17, 20, 22, 38, 40, 65, 72, 75, 78, 82, 84, 88, 110, 111, 117, 118, 119]",17,0.1416666666666666,0.0508863851095994,0.0002789635793582,0.0907802815570672,5.435228064447245,1.1953067106754898e-07,0.0685515873015873,0.000306353536785,0.0731150793650793,4.177298465752302,1.508531957286586e-05,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[7, 9, 13, 21, 27, 39, 41, 42, 45, 49, 51, 68, 72, 80, 100, 102, 115]","[7, 9, 13, 21, 27, 39, 41, 42, 45, 49, 51, 68, 72, 80, 100, 102, 115]",17,0.1416666666666666,0.0060886188271604,4.821673299283883e-05,0.1355780478395061,19.524974977095372,1.3355035291949475e-24,0.0192063492063492,0.0001355184319098,0.1224603174603174,10.519526622585955,3.164914420729876e-16,,,,,
[IDH1-/-IDH2],"[4, 21, 33, 43, 56, 69, 74, 81, 87, 89, 107]","[4, 21, 33, 43, 56, 69, 74, 81, 87, 89, 107]",11,0.0916666666666666,0.0394212962962963,0.0001816080032578,0.0522453703703703,3.8768618063286855,7.023319615912207e-05,0.0652777777777777,0.0001124228395061,0.0263888888888888,2.4888219560456677,0.0118518518518518,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[17, 20, 65, 82, 84, 111, 117, 118, 119]","[17, 20, 65, 82, 84, 111, 117, 118, 119]",9,0.075,0.0036084104938271,2.8488625417952675e-05,0.0713915895061728,13.375539369254604,8.465476632754151e-13,0.0099305555555555,7.06934799382716e-05,0.0650694444444444,7.739045828985245,6.77238130620332e-09,,,,,
[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[9, 38, 40, 72, 75, 78, 88, 110]","[9, 22, 38, 40, 72, 75, 78, 88, 110]",8,0.0666666666666666,0.0032381241451607,2.56726351147076e-05,0.0634285425215059,12.518419705375129,7.026312155166681e-11,0.0096825396825396,6.89680964978584e-05,0.0569841269841269,6.861669236357352,3.60505141700027e-07,,,,,
[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[12, 15, 47, 50, 76, 82, 108, 118]","[12, 15, 21, 47, 50, 76, 82, 104, 108, 118]",8,0.0666666666666666,0.0036742669753086,2.888743693052459e-05,0.062992399691358,11.7201628972466,2.3854739583333333e-10,0.0092361111111111,6.61988811728395e-05,0.0574305555555555,7.058585712279375,3.302094050068586e-07,,,,,
[IDH1->-BCOR],"[9, 25, 52, 110, 114]","[9, 25, 45, 52, 98, 110, 114]",5,0.0416666666666666,0.0166641628873771,9.441718661132778e-05,0.0250025037792894,2.5731077560354105,0.0197424508692365,0.0214682539682539,0.0001052925799949,0.0201984126984126,1.9684226689874669,0.0602210884353741,,,,,
