edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH1->-SRSF2],"[0, 3, 7, 8, 17, 18, 20, 23, 25, 26, 27, 32, 33, 34, 35, 37, 38, 45, 47, 49, 50, 53, 55, 59, 60, 64, 65, 66, 70, 76, 78, 82, 85, 89, 90, 91, 92, 96, 100, 103, 105, 106, 111, 115, 116, 117, 119]","[0, 3, 7, 8, 17, 18, 20, 23, 25, 26, 27, 32, 33, 34, 35, 37, 38, 45, 47, 49, 50, 53, 55, 59, 60, 64, 65, 66, 70, 76, 78, 82, 85, 87, 89, 90, 91, 92, 96, 98, 100, 103, 105, 106, 109, 111, 115, 116, 117, 119]",47,0.3916666666666666,0.11663600718065,0.0006749507100232,0.2750306594860166,10.58632154454664,6.680927009994088e-24,0.1708928571428571,0.0007891609189972,0.2207738095238095,7.858954359935964,2.555417281634659e-16,,,,,
[IDH2->-SRSF2],"[1, 2, 6, 9, 11, 12, 14, 15, 16, 19, 28, 29, 31, 36, 41, 42, 46, 48, 52, 54, 61, 62, 63, 67, 68, 72, 73, 75, 77, 79, 81, 83, 84, 86, 87, 97, 98, 108, 109, 112, 114, 118]","[1, 2, 6, 9, 11, 12, 14, 15, 16, 19, 22, 28, 29, 31, 34, 36, 37, 41, 42, 46, 48, 52, 54, 55, 61, 62, 63, 67, 68, 72, 73, 75, 77, 79, 81, 83, 84, 86, 87, 89, 97, 98, 104, 108, 109, 112, 114, 118]",42,0.35,0.1162255763416477,0.0006632634389087,0.2337744236583522,9.077243084363444,7.939679092096525e-18,0.1675198412698413,0.0007646057728647,0.1824801587301587,6.599284685146906,1.4414313957268603e-11,,,,,
[SRSF2->-NRAS],"[1, 3, 6, 7, 9, 12, 16, 17, 19, 25, 27, 34, 41, 42, 46, 47, 60, 61, 62, 68, 72, 75, 76, 79, 82, 83, 84, 90, 96, 100, 108, 112, 114, 117, 118]","[1, 3, 6, 7, 9, 12, 16, 17, 19, 22, 25, 27, 34, 41, 42, 46, 47, 60, 61, 62, 68, 72, 75, 76, 79, 82, 83, 84, 90, 96, 100, 108, 112, 114, 117, 118]",35,0.2916666666666667,0.099859835600907,0.0005506422433497,0.1918068310657596,8.173899755991984,3.4123163290873716e-16,0.1362698412698413,0.0006089923469387,0.1553968253968254,6.297036706028063,1.36840589157183e-11,,,,,
[SRSF2->-KRAS],"[0, 9, 11, 15, 20, 23, 26, 29, 32, 38, 45, 47, 48, 49, 50, 53, 54, 61, 63, 65, 70, 72, 73, 78, 82, 83, 86, 96, 97, 111, 114, 115, 118, 119]","[0, 9, 11, 15, 20, 23, 26, 29, 32, 38, 45, 47, 48, 49, 50, 53, 54, 61, 63, 65, 70, 72, 73, 78, 82, 83, 86, 96, 97, 104, 111, 114, 115, 118, 119]",34,0.2833333333333333,0.0980787037037037,0.0005394197638031,0.1852546296296296,7.976376454283459,1.5818444647979706e-15,0.1329761904761904,0.0005944546800201,0.1503571428571428,6.166868520507216,3.693158353843791e-11,,,,,
[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[1, 6, 9, 12, 16, 19, 41, 42, 46, 61, 62, 68, 72, 75, 79, 83, 84, 108, 112, 114, 118]","[1, 6, 9, 12, 16, 19, 22, 34, 41, 42, 46, 61, 62, 68, 72, 75, 79, 83, 84, 108, 112, 114, 118]",21,0.175,0.0082772850079185,6.546984997692509e-05,0.1667227149920814,20.605070322860403,8.907171815061177e-28,0.023829365079365,0.0001698670556185,0.1511706349206349,11.59879459777562,2.6161042357529488e-18,,,,,
[IDH1->-KRAS],"[0, 20, 23, 26, 32, 38, 40, 45, 47, 49, 50, 53, 65, 70, 78, 82, 96, 111, 115, 119]","[0, 20, 23, 26, 32, 38, 40, 45, 47, 49, 50, 53, 65, 70, 78, 82, 96, 111, 115, 119]",20,0.1666666666666666,0.056162037037037,0.0003085627036179,0.1105046296296296,6.290841711859718,3.1640132268269857e-10,0.0770833333333333,0.0003407214506172,0.0895833333333333,4.8531920796931125,1.687473720974392e-07,,,,,
[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[0, 20, 23, 26, 32, 38, 45, 47, 49, 50, 53, 65, 70, 78, 82, 96, 111, 115, 119]","[0, 20, 23, 26, 32, 38, 45, 47, 49, 50, 53, 65, 70, 78, 82, 96, 111, 115, 119]",19,0.1583333333333333,0.0070627700617283,5.592423142998161e-05,0.1512705632716049,20.22806832546665,6.076541057837011e-27,0.0212499999999999,0.0001506076388888,0.1370833333333333,11.170205326299977,5.600140238902586e-18,,,,,
[IDH2->-KRAS],"[9, 11, 15, 29, 30, 48, 54, 61, 63, 72, 73, 83, 86, 97, 114, 118]","[9, 11, 15, 29, 30, 48, 54, 61, 63, 72, 73, 83, 86, 97, 104, 114, 118]",16,0.1333333333333333,0.0467777777777777,0.0002593099922839,0.0865555555555555,5.375084822545588,2.116551001866659e-07,0.0628373015873015,0.0002865264392794,0.0704960317460317,4.164686543598136,1.913235511308835e-05,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[9, 11, 15, 29, 48, 54, 61, 63, 72, 73, 83, 86, 97, 114, 118]","[9, 11, 15, 29, 48, 54, 61, 63, 72, 73, 83, 86, 97, 104, 114, 118]",15,0.125,0.0058897762345679,4.662376573425116e-05,0.1191102237654321,17.44397142400874,2.991638570561127e-20,0.0167063492063492,0.0001192279226505,0.1082936507936507,9.917769402362792,1.204882919971864e-13,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[3, 7, 17, 25, 27, 34, 47, 60, 76, 82, 90, 96, 100, 117]","[3, 7, 17, 25, 27, 34, 47, 60, 76, 82, 90, 96, 100, 117]",14,0.1166666666666666,0.0048778935185185,3.868020860571702e-05,0.1117887731481481,17.97437450173376,1.6541952705681498e-20,0.015625,0.0001106433256172,0.1010416666666666,9.605896230092108,1.6748727114502507e-13,,,,,
[IDH1-/-IDH2],"[5, 34, 37, 43, 55, 57, 69, 74, 87, 89, 98, 101, 109]","[5, 34, 37, 43, 55, 57, 69, 74, 87, 89, 98, 101, 109]",13,0.1083333333333333,0.0520324074074074,0.0002215809113511,0.0563009259259259,3.7822424549052953,6.50307371843723e-05,0.0869444444444444,0.0001111882716049,0.0213888888888889,2.0284239736292555,0.0395061728395061,,,,,
[KRAS-/-NRAS SRSF2->-KRAS SRSF2->-NRAS],"[9, 47, 61, 72, 82, 83, 96, 114, 118]","[9, 47, 61, 72, 82, 83, 96, 114, 118]",9,0.075,0.0052583333333333,4.062739583333334e-05,0.0697416666666666,10.94165026616117,3.5156250000000005e-11,0.0121825396825396,8.445609725371629e-05,0.0628174603174603,6.835414726745072,6.532105297537393e-08,,,,,
[KRAS-/-NRAS IDH2->-KRAS IDH2->-NRAS IDH2->-SRSF2 SRSF2->-NRAS SRSF2->-KRAS],"[9, 61, 72, 83, 114, 118]","[9, 61, 72, 83, 114, 118]",6,0.05,0.0003611979166666,2.9869628987630207e-06,0.0496388020833333,28.721451104717858,1.1444091796875e-13,0.0028571428571428,2.210569412950365e-05,0.0471428571428571,10.026833921523451,9.18577307466196e-09,,,,,
[KRAS-/-NRAS IDH1->-NRAS IDH1->-KRAS IDH1->-SRSF2 SRSF2->-NRAS SRSF2->-KRAS],"[47, 82, 96]","[47, 82, 96]",3,0.025,0.0002102083333333,1.7368590060763886e-06,0.0247897916666666,18.810077916082463,5.859375e-07,0.0018055555555555,1.390817901234568e-05,0.0231944444444444,6.21940500474422,0.0003472222222222,,,,,
[SRSF2->-GATA2],"[1, 62, 88, 104, 111]","[1, 62, 88, 104, 105, 111, 113]",5,0.0416666666666666,0.0198390022675736,0.0001073821213933,0.0218276643990929,2.1064020955411915,0.0476541477702192,0.0253769841269841,0.0001173733150667,0.0162896825396825,1.5035848295327183,0.1317261904761904,,,,,
[CSF3R-/-TP53],"[3, 52, 94, 95]","[3, 13, 52, 94, 95]",4,0.0333333333333333,0.013875,5.605381944444444e-05,0.0194583333333333,2.5989805759315403,0.0115199999999999,0.0177777777777777,4.92283950617284e-05,0.0155555555555555,2.217061230901708,0.03,,,,,
[SRSF2-/-WT1],"[59, 66, 87, 115]","[59, 66, 76, 87, 88, 115]",4,0.0333333333333333,0.0123569538926681,5.965294421077408e-05,0.0209763794406651,2.7159050875728266,0.0141496598639455,0.0157142857142857,6.390778533635676e-05,0.0176190476190476,2.203969323879803,0.0412698412698412,,,,,
[SRSF2->-SETBP1],"[45, 71, 86, 90]","[35, 45, 52, 59, 71, 86, 90]",4,0.0333333333333333,0.0157147108843537,9.12485066624439e-05,0.0176186224489795,1.8444167868946777,0.0840031090561224,0.0220039682539682,0.0001042843757873,0.011329365079365,1.1094198927134968,0.2372023809523809,,,,,
[IDH1->-WT1],"[59, 66, 76, 115]","[59, 66, 76, 87, 115]",4,0.0333333333333333,0.0099623960695389,6.051036473000219e-05,0.0233709372637944,3.0044241501701276,0.0112471655328798,0.0129761904761904,7.004440665154952e-05,0.0203571428571428,2.4323725518924597,0.0301587301587301,,,,,
[IDH1->-WT1 SRSF2-/-WT1 IDH1->-SRSF2],"[59, 66, 115]","[59, 66, 76, 87, 115]",3,0.025,0.0020364651945434,1.58481041460219e-05,0.0229635348054565,5.768329789607327,0.0007966742252456,0.0057539682539682,3.693153187200807e-05,0.0192460317460317,3.16695969907358,0.0133333333333333,,,,,
[SRSF2->-NPM1],"[22, 62, 113, 118]","[22, 62, 113, 118]",4,0.0333333333333333,0.0108528911564625,6.041515037137304e-05,0.0224804421768707,2.892223955318223,0.0108,0.0135714285714285,6.596513605442177e-05,0.0197619047619047,2.4331650561261604,0.02625,,,,,
[IDH1->-SETBP1],"[35, 45, 59, 90]","[35, 45, 59, 90]",4,0.0333333333333333,0.009173044217687,5.261829832911055e-05,0.0241602891156462,3.330686275801791,0.0043048469387755,0.0120039682539682,5.8451042454018647e-05,0.021329365079365,2.7898560628322335,0.0119047619047619,,,,,
[IDH1->-SETBP1 SRSF2->-SETBP1 IDH1->-SRSF2],"[45, 90]","[35, 45, 59, 90]",2,0.0166666666666666,0.001090257531584,8.540583635491543e-06,0.0155764091350826,5.329955351506942,0.0045895590379008,0.0028571428571428,1.994520030234316e-05,0.0138095238095238,3.0921425151446273,0.0304232804232804,,,,,
[IDH2-/-SRSF2 IDH1-/-IDH2 IDH1->-SRSF2],"[34, 37, 55, 89]","[34, 37, 55, 87, 89, 98, 109]",4,0.0333333333333333,0.0022671682098765,1.8153070069289645e-05,0.0310661651234567,7.291428211977759,7.214138331233173e-05,0.0086805555555555,6.11255787037037e-05,0.0246527777777777,3.153220700958726,0.0113811728395061,,,,,
[SRSF2->-DNMT3A],"[9, 84, 111, 114]","[9, 84, 111, 114]",4,0.0333333333333333,0.0114050925925925,6.232837684327847e-05,0.0219282407407407,2.7775435807860105,0.0135416666666666,0.0140873015873015,6.702412446460065e-05,0.0192460317460317,2.350853810556135,0.0309523809523809,,,,,
[IDH1->-CSF3R],"[3, 17, 49]","[3, 17, 49]",3,0.025,0.0084583333333333,4.627604166666666e-05,0.0165416666666666,2.4316505514623064,0.0378,0.0108333333333333,5.034722222222223e-05,0.0141666666666666,1.996548746349992,0.07875,,,,,
[IDH1-/-SRSF2 IDH1-/-IDH2 IDH2->-SRSF2],"[87, 98, 109]","[34, 37, 55, 87, 89, 98, 109]",3,0.025,0.0022671682098765,1.8153070069289645e-05,0.0227328317901234,5.3355414288806555,0.001819981828581,0.0086805555555555,6.11255787037037e-05,0.0163194444444444,2.08734328091634,0.0714953596536351,,,,,
[SRSF2->-TP53],"[3, 50, 88]","[3, 50, 52, 81, 88, 112]",3,0.025,0.0146666666666666,8.357291666666668e-05,0.0103333333333333,1.1303362599947588,0.2404079999999999,0.0190277777777777,9.303626543209878e-05,0.0059722222222222,0.6191698843092234,0.41475,,,,,
[IDH1->-PPM1D],"[8, 49, 119]","[8, 49, 119]",3,0.025,0.0071851851851851,4.2002743484224966e-05,0.0178148148148148,2.748795829227277,0.0224,0.0094444444444444,4.841820987654322e-05,0.0155555555555555,2.2355333953562377,0.0525,,,,,
[SRSF2-/-TP53 IDH2->-TP53 IDH2->-SRSF2],"[52, 81, 112]","[52, 81, 112]",3,0.025,0.0019875,1.5206788194444443e-05,0.0230125,5.90126412602223,0.00048,0.0044444444444444,3.0401234567901235e-05,0.0205555555555555,3.728066141763099,0.0055555555555555,,,,,
[IDH1->-TET2],"[20, 53, 116]","[20, 53, 101, 116]",3,0.025,0.0078125,4.3131510416666667e-05,0.0171875,2.617070232869876,0.0263671875,0.0104166666666666,4.774305555555556e-05,0.0145833333333333,2.1105794120443457,0.0625,,,,,
[KRAS->-TET2],"[20, 51, 53]","[20, 51, 53]",3,0.025,0.009375,4.8828125e-05,0.015625,2.23606797749979,0.052734375,0.0125,5.208333333333334e-05,0.0125,1.7320508075688772,0.125,,,,,
[SRSF2->-TET2 KRAS->-TET2 IDH1->-TET2 IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[20, 53]","[20, 53]",2,0.0166666666666666,6.510416666666667e-05,5.404154459635417e-07,0.0166015625,22.58317958127243,1.52587890625e-05,0.0006944444444444,5.54591049382716e-06,0.0159722222222222,6.782329983125268,0.0017361111111111,,,,,
[SRSF2->-TET2],"[1, 20, 53]","[1, 20, 53, 116]",3,0.025,0.0111458333333333,5.9798177083333334e-05,0.0138541666666666,1.791580948099926,0.1072265625,0.0145833333333333,6.510416666666667e-05,0.0104166666666666,1.2909944487358058,0.21875,,,,,
[IDH2->-NPM1],"[22, 62, 118]","[22, 62, 118]",3,0.025,0.0077278911564625,4.4139108704706375e-05,0.0172721088435374,2.5997619700216825,0.0288,0.0094047619047619,4.860402494331065e-05,0.015595238095238,2.2369480176978835,0.0525,,,,,
[IDH2->-NPM1 IDH2->-SRSF2 SRSF2->-NPM1],"[62, 118]","[22, 62, 118]",2,0.0166666666666666,0.0009344995140913,7.421806220197367e-06,0.0157321671525753,5.774757434193116,0.0035808279883381,0.0017063492063492,1.311019778281683e-05,0.0149603174603174,4.131770472279585,0.0124523809523809,,,,,
[NRAS->-DNMT3A IDH2->-DNMT3A SRSF2->-DNMT3A IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[9, 84, 114]","[9, 84, 114]",3,0.025,7.84375e-05,6.51348779296875e-07,0.0249215625,30.879372460407076,2.44140625e-08,0.0004960317460317,4.001913265306122e-06,0.0245039682539682,12.2490550157034,3.306878306878306e-06,,,,,
[IDH2->-GATA2],"[1, 62, 104]","[1, 62, 104]",3,0.025,0.0087278911564625,4.680577537137304e-05,0.0162721088435374,2.378450506453747,0.0411428571428571,0.0106547619047619,5.0166524943310656e-05,0.014345238095238,2.0253531123952477,0.075,,,,,
[NRAS->-GATA2 IDH2->-GATA2 SRSF2->-GATA2 IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[1, 62]","[1, 62]",2,0.0166666666666666,0.0001117867555185,9.25076029125338e-07,0.0165548799111481,17.21223714277422,4.331528529779259e-05,0.0004761904761904,3.831057886117409e-06,0.0161904761904761,8.271804570987355,0.0006448412698412,,,,,
[IDH2->-PTPN11],"[9, 11, 30]","[9, 11, 30]",3,0.025,0.0080208333333333,4.460720486111111e-05,0.0169791666666666,2.542224302224668,0.03125,0.0099206349206349,4.873708742756361e-05,0.015079365079365,2.1599976066521775,0.0595238095238095,,,,,
[SETBP1-/-SRSF2],"[35, 52, 59]","[35, 45, 52, 59, 71, 86, 90]",3,0.025,0.0115467687074829,5.090540905988246e-05,0.013453231292517,1.885578610274647,0.0955102040816326,0.0143253968253968,5.040469891660368e-05,0.0106746031746031,1.5035442938167882,0.1857142857142857,,,,,
[SETBP1-/-SRSF2 IDH1->-SETBP1 IDH1->-SRSF2],"[35, 59]","[35, 45, 59, 90]",2,0.0166666666666666,0.0014129312439261,1.0765054276289773e-05,0.0152537354227405,4.64909153850874,0.007106413994169,0.0031150793650793,2.055421705719325e-05,0.0135515873015873,2.98909486175122,0.0309523809523809,,,,,
[SRSF2->-CSF3R],"[3, 11, 17]","[3, 11, 17, 49, 52]",3,0.025,0.013125,7.227604166666667e-05,0.011875,1.396807114822699,0.1791856,0.0166666666666666,7.881944444444446e-05,0.0083333333333333,0.9386465089278642,0.313625,,,,,
[NRAS->-CSF3R SRSF2->-CSF3R IDH1->-CSF3R IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[3, 17]","[3, 17]",2,0.0166666666666666,5.921875e-05,4.917188340928819e-07,0.0166074479166666,23.683423310670708,1.25e-05,0.0004861111111111,3.911072530864197e-06,0.0161805555555555,8.181736601120265,0.0006944444444444,,,,,
[KRAS->-GATA2],"[104, 111]","[104, 111]",2,0.0166666666666666,0.0053425925925925,3.0021519204389574e-05,0.011324074074074,2.066742493051688,0.1011111111111111,0.0065277777777777,3.285108024691358e-05,0.0101388888888888,1.7689499126051962,0.1516666666666666,,,,,
[IDH2->-ASXL1 SRSF2->-ASXL1 IDH2->-SRSF2],"[9, 63]","[9, 63]",2,0.0166666666666666,0.0009114583333333,7.171630859375e-06,0.0157552083333333,5.883221323748414,0.0029296875,0.0019841269841269,1.4251070798689847e-05,0.0146825396825396,3.889353651084511,0.0119047619047619,,,,,
[IDH1->-GATA2],"[105, 111]","[105, 111]",2,0.0166666666666666,0.0048611111111111,2.8024262688614535e-05,0.0118055555555555,2.230074294177793,0.0802469135802469,0.0063888888888888,3.2484567901234566e-05,0.0102777777777777,1.803269661665744,0.1444444444444444,,,,,
[SRSF2->-PPM1D KRAS->-PPM1D IDH1->-PPM1D IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[49, 119]","[49, 119]",2,0.0166666666666666,4e-05,3.324444444444445e-07,0.0166266666666666,28.83670603542059,5.12e-06,0.0002083333333333,1.7119984567901231e-06,0.0164583333333333,12.578653950692324,0.0001388888888888,,,,,
[KRAS->-SETBP1 SRSF2->-SETBP1 SRSF2->-KRAS],"[45, 86]","[45, 86]",2,0.0166666666666666,0.0010416666666666,8.138020833333333e-06,0.015625,5.477225575051661,0.00390625,0.0027777777777777,1.9290123456790123e-05,0.0138888888888888,3.162277660168379,0.0277777777777777,,,,,
[CSF3R-/-SRSF2],"[49, 52]","[3, 11, 17, 49, 52]",2,0.0166666666666666,0.0066666666666666,3.511111111111111e-05,0.0099999999999999,1.6876318513890354,0.154368,0.0083333333333333,3.75e-05,0.0083333333333333,1.3608276348795434,0.234,,,,,
[KIT-/-SRSF2],"[81, 116]","[22, 81, 116]",2,0.0166666666666666,0.0057916666666666,3.138715277777778e-05,0.010875,1.9411241149917573,0.12,0.0075,3.4027777777777775e-05,0.0091666666666666,1.5714285714285716,0.2,,,,,
