edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH1->-SRSF2],"[1, 7, 9, 16, 25, 30, 34, 39, 60, 62, 66, 68, 73, 75, 79, 81, 86, 88, 90, 92, 93, 94, 95, 97, 98, 100, 113, 118]","[1, 7, 9, 16, 25, 30, 34, 39, 56, 60, 62, 66, 68, 73, 75, 79, 81, 86, 88, 90, 92, 93, 94, 95, 97, 98, 100, 111, 113, 118]",28,0.2333333333333333,0.0731144652305366,0.0004148792975335,0.1602188681027966,7.865978901875987,4.8194162272003704e-14,0.1033531746031746,0.000472476143235,0.1299801587301587,5.9798063594710165,5.670171953229431e-10,,,,,
[IDH2->-SRSF2],"[6, 10, 12, 13, 14, 18, 24, 29, 35, 38, 40, 42, 45, 47, 52, 56, 61, 76, 78, 80, 84, 102, 108, 110]","[6, 10, 12, 13, 14, 18, 24, 29, 34, 35, 38, 40, 42, 45, 47, 52, 56, 61, 76, 78, 80, 84, 95, 98, 102, 104, 108, 110]",24,0.2,0.0679581443688586,0.0003837406444731,0.1320418556311413,6.740509400306062,2.1214654005098876e-10,0.0973809523809523,0.0004399274061476,0.1026190476190476,4.892574762325855,6.890071283309758e-07,,,,,
[SRSF2->-NRAS],"[1, 9, 13, 25, 29, 39, 42, 47, 62, 68, 76, 80, 84, 86, 90, 113, 118]","[1, 9, 13, 25, 29, 39, 42, 47, 62, 68, 76, 80, 84, 86, 90, 104, 113, 118]",17,0.1416666666666666,0.0519709467120181,0.0002812088907263,0.0896957199546485,5.3488103117924455,1.6443603515625002e-07,0.0694642857142857,0.0003060409580498,0.0722023809523809,4.127259185177175,1.81884765625e-05,,,,,
[SRSF2->-KRAS],"[6, 7, 12, 47, 60, 61, 62, 73, 78, 88, 108, 110, 118]","[6, 7, 12, 47, 60, 61, 62, 73, 78, 88, 108, 110, 118]",13,0.1083333333333333,0.0370355725623582,0.0002019242437042,0.071297760770975,5.017433877592451,8.078231292517008e-07,0.0499801587301587,0.0002215754125724,0.0583531746031746,3.9201592036973993,3.865559895833334e-05,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[1, 9, 25, 39, 62, 68, 86, 90, 113, 118]","[1, 9, 25, 39, 62, 68, 86, 90, 113, 118]",10,0.0833333333333333,0.0042802171066839,3.364617213329893e-05,0.0790531162266493,13.62859742222352,7.160112232233672e-14,0.0116071428571428,8.193302784076594e-05,0.0717261904761904,7.924069261815752,1.3365542833502851e-09,,,,,
[IDH1-/-IDH2],"[5, 33, 34, 56, 57, 87, 95, 98, 101]","[5, 33, 34, 56, 57, 87, 95, 98, 101]",9,0.075,0.0354814814814814,0.0001463360339506,0.0395185185185185,3.2668185654580006,0.0008230452674897,0.055,8.996913580246914e-05,0.0199999999999999,2.1085466855667216,0.037037037037037,,,,,
[IDH2->-NRAS],"[13, 19, 29, 42, 47, 76, 80, 84]","[13, 19, 29, 42, 47, 76, 80, 84, 104]",8,0.0666666666666666,0.0260555555555555,0.0001406350308641,0.0406111111111111,3.4245074506772664,0.001261640625,0.035,0.000153125,0.0316666666666666,2.5590531128656004,0.0112109375,,,,,
[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[13, 29, 42, 47, 76, 80, 84]","[13, 29, 42, 47, 76, 80, 84, 104]",7,0.0583333333333333,0.0032464506172839,2.55249888784103e-05,0.0550868827160493,10.903487153597066,2.944958847736626e-09,0.0091666666666666,6.44675925925926e-05,0.0491666666666666,6.123504470627529,3.6972736625514393e-06,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[6, 12, 47, 61, 78, 108, 110]","[6, 12, 47, 61, 78, 108, 110]",7,0.0583333333333333,0.00289688186121,2.2727612599144515e-05,0.0554364514721232,11.628361215985043,3.8992669378156904e-10,0.0076984126984126,5.471702569916856e-05,0.0506349206349206,6.8452433590313575,3.98050166568685e-07,,,,,
[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[7, 60, 62, 73, 88, 118]","[7, 60, 62, 73, 88, 118]",6,0.05,0.0021812587733506,1.7294419746146157e-05,0.0478187412266493,11.498604645169506,4.887969950538187e-09,0.006845238095238,4.839183358528597e-05,0.0431547619047619,6.203584266371624,4.041740152851263e-06,,,,,
