,edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
29,[IDH2->-SMC3 SRSF2->-SMC3 IDH2->-SRSF2],"[9, 12, 62]","[9, 12, 59, 62]",3,0.025,0.001494548712342,1.1742666548397244e-05,0.0235054512876579,6.859385790626496,0.0002426112312896,0.0029365079365079,2.1419123204837492e-05,0.022063492063492,4.767310142337741,0.0015624662563438,,,,,
30,[IDH2->-PPM1D],"[38, 48, 66]","[33, 38, 48, 66]",3,0.025,0.0096064814814814,5.5713627400548696e-05,0.0153935185185185,2.062325353087154,0.0720164609053498,0.0138888888888888,6.558641975308642e-05,0.0111111111111111,1.3719886811400708,0.1944444444444444,,,,,
31,[IDH1->-PTPN11],"[40, 84, 111]","[40, 84, 111]",3,0.025,0.008912037037037,4.772965963648834e-05,0.0160879629629629,2.3286643207952302,0.0451388888888888,0.0119444444444444,5.177469135802469e-05,0.0130555555555555,1.81441487573313,0.1083333333333333,,,,,
32,[IDH2->-BCOR],"[41, 96, 104]","[41, 94, 96, 101, 104]",3,0.025,0.0090486111111111,5.368513695987654e-05,0.0159513888888888,2.17706537374735,0.0607666666666666,0.0122222222222222,6.11496913580247e-05,0.0127777777777777,1.634023116648392,0.1349999999999999,,,,,
33,[IDH1->-ASXL1],"[2, 49, 78]","[2, 49, 78]",3,0.025,0.0071944444444444,4.245293209876543e-05,0.0178055555555555,2.732761202048011,0.0233333333333333,0.01125,5.052083333333333e-05,0.01375,1.9344942598098125,0.0875,,,,,
34,[IDH2->-ETV6],"[9, 116, 119]","[9, 49, 116, 119]",3,0.025,0.0095,5.549913194444444e-05,0.0155,2.0806000421858863,0.07018125,0.0117261904761904,6.195082199546486e-05,0.0132738095238095,1.686444466479324,0.1248660714285714,,,,,
35,[KRAS->-NPM1 SRSF2->-NPM1 SRSF2->-KRAS],"[11, 17, 114]","[1, 3, 11, 17, 114]",3,0.025,0.0026541666666666,2.0629010416666663e-05,0.0223458333333333,4.9199122587572655,0.002252768,0.0058333333333333,4.13966049382716e-05,0.0191666666666666,2.978956953256785,0.0212191358024691,,,,,
36,[KRAS->-NPM1 IDH1->-NPM1 IDH1->-KRAS IDH1->-SRSF2 SRSF2->-KRAS SRSF2->-NPM1],"[11, 114]","[1, 3, 11, 114]",2,0.0166666666666666,0.0001733333333333,1.4346666666666666e-06,0.0164933333333333,13.769968040141489,0.0001451427430399,0.0009027777777777,7.257908950617283e-06,0.0157638888888888,5.851370626270402,0.0038491030092592,,,,,
37,[IDH1->-BCOR],"[11, 82, 88]","[11, 23, 47, 82, 86, 88, 94, 101]",3,0.025,0.0189791666666666,0.0001037478298611,0.0060208333333333,0.5911083507716304,0.4111205078125,0.0247222222222222,0.0001132330246913,0.0002777777777777,0.0261042334710433,0.6357812499999999,,,,,
38,[IDH1->-BCOR SRSF2->-BCOR IDH1->-SRSF2],"[11, 88]","[11, 23, 47, 82, 88]",2,0.0166666666666666,0.0021687499999999,1.6978120659722223e-05,0.0144979166666666,3.518526216297931,0.0235955078125,0.0052777777777777,3.753858024691358e-05,0.0113888888888888,1.85884181912564,0.1213348765432098,,,,,
39,[IDH1->-SETBP1],"[13, 27, 35]","[13, 27, 35]",3,0.025,0.0074652777777777,4.22875675154321e-05,0.0175347222222222,2.6964510346872874,0.0234375,0.0104166666666666,4.774305555555556e-05,0.0145833333333333,2.1105794120443457,0.0625,,,,,
40,[SRSF2->-CBL],"[50, 104, 110]","[47, 50, 104, 110, 115]",3,0.025,0.0131062925170068,7.37830613112592e-05,0.0118937074829932,1.3846465180683074,0.1809448979591837,0.016547619047619,8.159407281431091e-05,0.0084523809523809,0.935728283612544,0.3107440476190476,,,,,
41,[IDH1->-FLT3],"[52, 82, 84]","[52, 61, 82, 84]",3,0.025,0.0096666666666666,5.544878472222222e-05,0.0153333333333333,2.059162217123602,0.07216796875,0.0127777777777777,6.222993827160493e-05,0.0122222222222222,1.5493534039210637,0.1527777777777777,,,,,
42,[SRSF2->-SETBP1],"[13, 76, 102]","[13, 27, 30, 35, 48, 72, 76, 102, 118]",3,0.025,0.0242777777777777,0.0001338374807098,0.0007222222222222,0.0624283664028986,0.6009581787109377,0.0320833333333333,0.0001479359567901,-0.0070833333333333,-0.5823724303849276,0.821603732638889,,,,,
43,[NRAS->-SETBP1 SRSF2->-SETBP1 IDH2->-SETBP1 IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[76, 102]","[76, 102]",2,0.0166666666666666,0.0001333333333333,1.1022222222222222e-06,0.0165333333333333,15.748015748023622,6.4e-05,0.0006944444444444,5.54591049382716e-06,0.0159722222222222,6.782329983125268,0.0017361111111111,,,,,
44,[IDH1->-RUNX1],"[19, 60, 108]","[19, 60, 108]",3,0.025,0.0092361111111111,4.837480709876543e-05,0.0157638888888888,2.2664896594366732,0.05,0.0125,5.208333333333334e-05,0.0125,1.7320508075688772,0.125,,,,,
45,[KRAS->-RUNX1 IDH1->-RUNX1 SRSF2->-RUNX1 IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[19, 108]","[19, 108]",2,0.0166666666666666,9.921875e-05,8.213188340928819e-07,0.0165674479166666,18.280990500639877,3.125e-05,0.0006944444444444,5.54591049382716e-06,0.0159722222222222,6.782329983125268,0.0017361111111111,,,,,
46,[IDH2->-RUNX1],"[54, 102, 118]","[54, 102, 118]",3,0.025,0.0084444444444444,4.6098765432098765e-05,0.0165555555555555,2.43836722174652,0.0373333333333333,0.01125,5.052083333333333e-05,0.01375,1.9344942598098125,0.0875,,,,,
47,[IDH2->-RUNX1 SRSF2->-RUNX1 IDH2->-SRSF2],"[54, 102]","[54, 102, 118]",2,0.0166666666666666,0.0011753086419753,9.214534369760706e-06,0.0154913580246913,5.103319914231404,0.0056296296296296,0.0031944444444444,2.2588734567901235e-05,0.0134722222222222,2.834609816105997,0.0416666666666666,,,,,
48,[IDH2->-STAG2],"[9, 51, 105]","[9, 51, 105]",3,0.025,0.0075810185185185,4.3198490012002744e-05,0.0174189814814814,2.650259953284969,0.0260416666666666,0.0099206349206349,4.873708742756361e-05,0.015079365079365,2.1599976066521775,0.0595238095238095,,,,,
