edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH2->-SRSF2],"[2, 8, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 27, 28, 37, 45, 62, 67, 76, 84, 85, 90, 97, 99, 104, 106, 107, 108, 110, 113, 115]","[2, 8, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 27, 28, 34, 37, 45, 52, 59, 62, 67, 76, 84, 85, 90, 95, 97, 99, 104, 106, 107, 108, 110, 113, 115]",31,0.2583333333333333,0.084224820483749,0.0004772055596516,0.1741085128495842,7.970164014210412,4.7261350180083725e-14,0.1225396825396825,0.0005526344797178,0.1357936507936508,5.776442778300605,3.076156951771355e-09,,,,,
[IDH1->-SRSF2],"[0, 3, 9, 10, 32, 34, 46, 49, 59, 66, 71, 72, 79, 81, 83, 93, 94, 95, 105, 111, 112, 114, 116, 119]","[0, 3, 9, 10, 21, 32, 34, 37, 46, 49, 52, 59, 66, 71, 72, 79, 81, 83, 93, 94, 95, 105, 107, 111, 112, 114, 116, 119]",24,0.2,0.0587517479213907,0.000351741680102,0.1412482520786092,7.531321119234143,7.670796071071753e-12,0.0819246031746031,0.0004125893644494,0.1180753968253968,5.81300102394705,1.2969365096186169e-08,,,,,
[IDH1-/-IDH2],"[5, 21, 34, 35, 37, 43, 52, 59, 74, 89, 95, 101, 107, 109, 118]","[5, 21, 34, 35, 37, 43, 52, 59, 74, 89, 95, 101, 107, 109, 118]",15,0.125,0.0578754724111867,0.0002485027384494,0.0671245275888133,4.258098002631089,6.550768455530361e-06,0.0876587301587301,0.0001710837112622,0.0373412698412698,2.8548595769342264,0.0022927689594356,,,,,
[SRSF2->-NRAS],"[3, 9, 11, 16, 19, 32, 46, 49, 52, 62, 72, 83, 111, 113, 119]","[3, 9, 11, 16, 19, 32, 46, 49, 52, 62, 72, 83, 111, 113, 119]",15,0.125,0.0421607615268329,0.0002294560079245,0.082839238473167,5.468728728555133,6.197466169084822e-08,0.0541865079365079,0.0002492122543461,0.070813492063492,4.485711254852097,2.550397600446429e-06,,,,,
[SRSF2->-KRAS],"[9, 12, 13, 20, 21, 45, 72, 76, 83, 90, 108, 110, 119]","[9, 12, 13, 20, 21, 45, 72, 76, 83, 90, 108, 110, 119]",13,0.1083333333333333,0.0378979591836734,0.0002025382696445,0.0704353741496598,4.94922591422906,9.477366598284974e-07,0.0486904761904761,0.000218641345427,0.0596428571428571,4.033595039379288,2.465280545812075e-05,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[12, 13, 20, 21, 45, 76, 90, 108, 110]","[12, 13, 20, 21, 45, 76, 90, 108, 110]",9,0.075,0.0046993895772594,3.650037871205366e-05,0.0703006104227405,11.636179465201977,7.229018141854957e-12,0.0111011904761904,7.782177106953892e-05,0.0638988095238095,7.243395716020471,1.8428248452253933e-08,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[3, 9, 32, 46, 49, 72, 83, 111, 119]","[3, 9, 32, 46, 49, 52, 72, 83, 111, 119]",9,0.075,0.0036546682098765,2.8866599864195152e-05,0.0713453317901234,13.279072616466342,1.0799831814236112e-12,0.0081646825396825,5.9848100119677496e-05,0.0668353174603174,8.639345275010623,1.3544762612406635e-09,,,,,
[MYC->-SRSF2],"[27, 62, 80, 84, 111]","[9, 27, 59, 62, 80, 84, 94, 111]",5,0.0416666666666666,0.02039630574452,0.0001138846361147,0.0212703609221466,1.993160583246094,0.0587953172783427,0.0259126984126984,0.0001239055807508,0.0157539682539682,1.4152870478168431,0.1483252348558471,,,,,
[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[11, 16, 19, 62, 113]","[11, 16, 19, 52, 62, 113]",5,0.0416666666666666,0.0025514748227333,1.9894361423291407e-05,0.0391151918439333,8.7696136930357,7.423604362379872e-07,0.0064285714285714,4.5093222474174855e-05,0.0352380952380952,5.247552459632442,8.083480305702528e-05,,,,,
[IDH2->-TET2],"[11, 13, 22, 62]","[11, 13, 22, 42, 62, 109]",4,0.0333333333333333,0.0155565948601662,8.537262636588606e-05,0.017776738473167,1.923945485258366,0.0740506424792139,0.0203769841269841,9.453380889392794e-05,0.0129563492063492,1.3325670382239243,0.181845238095238,,,,,
