,edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
0,[IDH2->-SRSF2],"[1, 7, 9, 11, 13, 16, 17, 19, 20, 23, 24, 27, 30, 32, 37, 38, 41, 42, 46, 47, 48, 52, 54, 58, 59, 61, 62, 65, 68, 70, 76, 81, 82, 83, 84, 87, 89, 90, 93, 94, 95, 99, 100, 105, 107, 110, 112, 117]","[1, 7, 9, 11, 13, 16, 17, 19, 20, 21, 22, 23, 24, 27, 30, 32, 34, 37, 38, 41, 42, 46, 47, 48, 52, 54, 58, 59, 61, 62, 65, 68, 70, 76, 81, 82, 83, 84, 87, 89, 90, 93, 94, 95, 99, 100, 105, 107, 110, 112, 117]",48,0.4,0.1247896352985638,0.0007067461760782,0.2752103647014361,10.352209495858704,1.410428788933671e-23,0.1738492063492063,0.00080106292517,0.2261507936507936,7.990331547259688,6.747402957788797e-17,,,,,
1,[IDH1->-SRSF2],"[3, 6, 12, 15, 21, 25, 26, 29, 34, 35, 45, 49, 50, 51, 53, 60, 63, 64, 66, 67, 71, 72, 73, 75, 77, 78, 80, 85, 86, 88, 91, 97, 102, 103, 106, 108, 111, 113, 114, 116, 118, 119]","[3, 6, 12, 15, 21, 25, 26, 29, 34, 35, 37, 45, 49, 50, 51, 53, 60, 63, 64, 66, 67, 71, 72, 73, 75, 77, 78, 80, 85, 86, 87, 88, 89, 91, 95, 97, 102, 103, 104, 106, 107, 108, 111, 113, 114, 116, 118, 119]",42,0.35,0.1167222222222222,0.0006637766096536,0.2332777777777777,9.054456722089371,8.370597211905563e-18,0.1693055555555555,0.0007660686728395,0.1806944444444444,6.528463023661326,2.0088074282149496e-11,,,,,
2,[SRSF2->-NRAS],"[6, 7, 9, 11, 15, 19, 20, 25, 29, 32, 34, 41, 46, 47, 51, 58, 60, 61, 63, 80, 83, 84, 90, 97, 102, 108, 110, 111, 113, 114]","[6, 7, 9, 11, 15, 19, 20, 22, 25, 29, 32, 34, 41, 46, 47, 51, 58, 60, 61, 63, 80, 83, 84, 90, 97, 102, 108, 110, 111, 113, 114]",30,0.25,0.0895461073318216,0.0004834506067502,0.1604538926681784,7.297501667275371,2.4820791882770476e-13,0.1202182539682539,0.0005271868701184,0.129781746031746,5.652379595922542,1.3607842404217943e-09,,,,,
3,[SRSF2->-KRAS],"[1, 3, 9, 12, 13, 26, 38, 47, 48, 49, 50, 54, 61, 62, 68, 70, 73, 76, 83, 111, 114, 119]","[1, 3, 9, 12, 13, 26, 38, 47, 48, 49, 50, 54, 61, 62, 68, 70, 73, 76, 83, 104, 111, 114, 119]",22,0.1833333333333333,0.0653829837490551,0.0003570609461961,0.1179503495842781,6.242061692566066,7.382670898437502e-10,0.0866865079365079,0.0003905316987906,0.0966468253968253,4.890569643896884,2.905237674713135e-07,,,,,
4,[IDH1-/-IDH2],"[4, 21, 33, 34, 37, 43, 56, 57, 74, 87, 89, 95, 96, 98, 101, 107]","[4, 21, 33, 34, 37, 43, 56, 57, 74, 87, 89, 95, 96, 98, 101, 107]",16,0.1333333333333333,0.0590925925925925,0.0002563701131687,0.0742407407407407,4.636695744857079,8.467543904215142e-07,0.0938888888888888,0.0001632716049382,0.0394444444444444,3.0869565217391304,0.0009144947416552,,,,,
5,[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[7, 9, 11, 19, 20, 32, 41, 46, 47, 58, 61, 83, 84, 90, 110]","[7, 9, 11, 19, 20, 22, 32, 34, 41, 46, 47, 58, 61, 83, 84, 90, 110]",15,0.125,0.0067909405031854,5.344914566682189e-05,0.1182090594968146,16.168896389152902,6.1505104847039135e-19,0.0180853174603174,0.0001285697554484,0.1069146825396825,9.429050067869497,1.152073157947565e-12,,,,,
6,[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[6, 15, 25, 29, 34, 51, 60, 63, 80, 97, 102, 108, 111, 113, 114]","[6, 15, 25, 29, 34, 51, 60, 63, 80, 97, 102, 108, 111, 113, 114]",15,0.125,0.0064457947530864,5.06138203241098e-05,0.1185542052469135,16.66412075285346,1.600040068257883e-20,0.0186111111111111,0.0001305266203703,0.1063888888888888,9.312080604957806,1.7280432737185125e-13,,,,,
7,[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[1, 9, 13, 38, 47, 48, 54, 61, 62, 68, 70, 76, 83]","[1, 9, 13, 38, 47, 48, 54, 61, 62, 68, 70, 76, 83]",13,0.1083333333333333,0.0052555257486592,4.136967351694853e-05,0.103077807584674,16.02596264033402,3.3148667741822553e-18,0.0143849206349206,0.0001021876574703,0.0939484126984127,9.293733719910623,1.5469378279517193e-12,,,,,
8,[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[3, 12, 26, 49, 50, 73, 111, 114, 119]","[3, 12, 26, 49, 50, 73, 104, 111, 114, 119]",9,0.075,0.0038938271604938,3.080618184156379e-05,0.0711061728395061,12.8111573943054,7.0601879794746736e-12,0.0100694444444444,7.252604166666668e-05,0.0649305555555555,7.624337826703236,2.7929995109993383e-08,,,,,
9,[KRAS-/-NRAS SRSF2->-KRAS SRSF2->-NRAS],"[9, 47, 61, 83, 111, 114]","[9, 47, 61, 83, 111, 114]",6,0.05,0.0033587962962962,2.6037387902949245e-05,0.0466412037037037,9.140522950558658,8.333333333333335e-08,0.0071825396825396,5.065980095742e-05,0.0428174603174603,6.015741475804503,7.054673721340387e-06,,,,,
