edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH2->-SRSF2],"[0, 1, 6, 11, 12, 15, 24, 30, 33, 34, 40, 47, 48, 49, 51, 52, 53, 58, 67, 68, 72, 73, 77, 82, 84, 87, 89, 93, 94, 95, 99, 102, 119]","[0, 1, 6, 11, 12, 15, 24, 30, 33, 34, 40, 47, 48, 49, 51, 52, 53, 58, 67, 68, 72, 73, 77, 82, 84, 87, 89, 93, 94, 95, 99, 102, 107, 119]",33,0.275,0.0802314814814814,0.0004597379115226,0.1947685185185185,9.083717127572667,2.148760798645717e-18,0.1159722222222222,0.0005315779320987,0.1590277777777778,6.8974652089811075,3.2271370530183e-13,,,,,
[IDH1->-SRSF2],"[3, 9, 13, 17, 20, 32, 35, 39, 45, 46, 55, 59, 62, 63, 65, 83, 85, 88, 92, 104, 105, 107, 108, 110, 111, 113]","[3, 9, 13, 17, 20, 32, 35, 39, 45, 46, 55, 59, 62, 63, 65, 83, 85, 88, 89, 92, 95, 104, 105, 107, 108, 110, 111, 113]",26,0.2166666666666666,0.0690975056689342,0.0003852572303906,0.1475691609977324,7.518309656468785,4.899749801401143e-13,0.0937103174603174,0.0004335282029478,0.1229563492063492,5.905304303306559,1.247740753665628e-09,,,,,
[SRSF2->-NRAS],"[3, 11, 13, 17, 20, 46, 51, 59, 88, 102, 110, 113, 119]","[3, 11, 13, 17, 20, 46, 51, 59, 88, 102, 110, 113, 119]",13,0.1083333333333333,0.0391335034013605,0.0002052385992237,0.0691998299319728,4.830315587212184,1.3689742717877962e-06,0.0503571428571428,0.000218536627614,0.0579761904761904,3.921819094726739,3.4080038265306125e-05,,,,,
[IDH1-/-IDH2],"[56, 66, 69, 81, 89, 95, 107, 109, 116, 118]","[56, 66, 69, 81, 89, 95, 107, 109, 116, 118]",10,0.0833333333333333,0.0338333333333333,0.0001582808213305,0.0494999999999999,3.934513604660359,7.803688462124675e-05,0.0502777777777777,0.0001354166666666,0.0330555555555555,2.8405890003564176,0.0032921810699588,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[3, 13, 17, 20, 46, 59, 88, 110, 113]","[3, 13, 17, 20, 46, 59, 88, 110, 113]",9,0.075,0.0042719387755102,3.335272558539243e-05,0.0707280612244898,12.246897650248227,1.4753098248683585e-12,0.0104166666666666,7.321546674225247e-05,0.0645833333333333,7.547776624688282,2.9485197523606287e-09,,,,,
[IDH1->-SMC3],"[9, 62, 64, 88, 108, 111]","[9, 62, 64, 88, 108, 111]",6,0.05,0.0172163170823885,9.304387443687372e-05,0.0327836829176114,3.3987079495629584,0.0015545280612244,0.0226587301587301,0.0001020864827412,0.0273412698412698,2.7060421725777375,0.0082908163265306,,,,,
[IDH1->-STAG2],"[3, 32, 46, 59, 105, 110]","[3, 32, 45, 46, 59, 105, 110]",6,0.05,0.0188186885865457,0.0001028038427079,0.0311813114134542,3.075315678960801,0.004802491149521,0.0243849206349206,0.0001126145597127,0.0256150793650793,2.4137841667999855,0.020490835222978,,,,,
[SRSF2->-KRAS],"[32, 45, 49, 53, 110, 119]","[32, 45, 49, 53, 110, 119]",6,0.05,0.0179396258503401,9.53143113112592e-05,0.0320603741496598,3.283897017170811,0.0020611607142857,0.0229365079365079,0.0001022730851599,0.027063492063492,2.676105036324494,0.00890625,,,,,
[IDH1->-NPM1],"[9, 35, 63, 78, 113]","[9, 35, 63, 78, 113, 118]",5,0.0416666666666666,0.0155277777777777,8.748331404320988e-05,0.0261388888888888,2.7946312387730106,0.01187255859375,0.0204761904761904,9.68466553287982e-05,0.0211904761904761,2.1532695696916364,0.0416294642857142,,,,,
[IDH1->-EZH2],"[7, 18, 35, 59, 80]","[2, 7, 18, 35, 37, 59, 80, 95, 104, 114]",5,0.0416666666666666,0.0194392479213907,0.0001178548541847,0.0222274187452758,2.047459377267741,0.0546183480076058,0.0286706349206349,0.000140588388133,0.0129960317460317,1.0960643130059586,0.2242787905092592,,,,,
