edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH2->-SRSF2],"[12, 14, 15, 16, 17, 18, 19, 20, 24, 27, 29, 31, 33, 34, 37, 39, 41, 42, 44, 46, 49, 50, 56, 61, 64, 65, 66, 70, 71, 72, 73, 75, 77, 83, 87, 88, 89, 90, 91, 95, 97, 103, 107, 108, 111, 114, 118, 119]","[12, 14, 15, 16, 17, 18, 19, 20, 24, 27, 29, 31, 33, 34, 37, 39, 41, 42, 44, 46, 49, 50, 56, 61, 64, 65, 66, 70, 71, 72, 73, 75, 77, 83, 87, 88, 89, 90, 91, 95, 97, 98, 103, 107, 108, 109, 111, 114, 118, 119]",48,0.4,0.1166782407407407,0.0006721437274948,0.2833217592592593,10.9282055417989,7.35003719266944e-26,0.1744444444444444,0.0007895061728395,0.2255555555555555,8.0274158846898,1.4137387013284684e-17,,,,,
[IDH1->-SRSF2],"[1, 2, 7, 8, 11, 25, 30, 32, 38, 40, 47, 48, 52, 54, 59, 62, 63, 67, 68, 76, 79, 80, 82, 85, 86, 92, 93, 94, 96, 98, 100, 105, 109, 110, 112, 115, 116]","[1, 2, 7, 8, 11, 25, 30, 32, 34, 37, 38, 40, 47, 48, 52, 54, 56, 59, 62, 63, 67, 68, 76, 79, 80, 82, 85, 86, 87, 89, 92, 93, 94, 95, 96, 98, 100, 105, 107, 109, 110, 112, 115, 116]",37,0.3083333333333333,0.0966137093726379,0.0005633407727003,0.2117196239606953,8.920219093150838,1.7412104631328167e-16,0.1383730158730158,0.000658768738977,0.1699603174603175,6.621875978484555,4.054700582238276e-11,,,,,
[SRSF2->-KRAS],"[7, 15, 16, 19, 20, 27, 32, 39, 41, 47, 48, 61, 62, 68, 70, 72, 73, 80, 82, 83, 86, 96, 97, 100, 108, 110, 111, 112, 114, 118, 119]","[7, 15, 16, 19, 20, 27, 32, 39, 41, 47, 48, 61, 62, 68, 70, 72, 73, 80, 82, 83, 86, 96, 97, 100, 108, 110, 111, 112, 114, 118, 119]",31,0.2583333333333333,0.087725387377173,0.000480297228958,0.1706079459561603,7.784741819348342,2.4451177288480357e-15,0.1190079365079365,0.0005290406903502,0.1393253968253968,6.057392987963829,2.9582905855198467e-11,,,,,
[SRSF2->-NRAS],"[1, 11, 12, 17, 25, 29, 34, 38, 40, 42, 46, 47, 49, 50, 54, 61, 63, 65, 72, 75, 76, 79, 82, 83, 88, 90, 96, 114, 115, 118]","[1, 11, 12, 17, 25, 29, 34, 38, 40, 42, 46, 47, 49, 50, 54, 61, 63, 65, 72, 75, 76, 79, 82, 83, 88, 90, 96, 114, 115, 118]",30,0.25,0.0832083333333333,0.0004581310763888,0.1667916666666666,7.792547751857406,3.3275379488865548e-15,0.1134722222222222,0.0005067708333333,0.1365277777777777,6.064782292581029,3.4233929515293747e-11,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[15, 16, 19, 20, 27, 39, 41, 61, 70, 72, 73, 83, 97, 108, 111, 114, 118, 119]","[15, 16, 19, 20, 27, 39, 41, 61, 70, 72, 73, 83, 97, 108, 111, 114, 118, 119]",18,0.15,0.0066724537037037,5.285483025286732e-05,0.1433275462962963,19.714570717869137,1.8436675683629928e-25,0.0203472222222222,0.0001444782021604,0.1296527777777777,10.786502822770336,8.400210358353878e-17,,,,,
[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[12, 17, 29, 34, 42, 46, 49, 50, 61, 65, 72, 75, 83, 88, 90, 114, 118]","[12, 17, 29, 34, 42, 46, 49, 50, 61, 65, 72, 75, 83, 88, 90, 114, 118]",17,0.1416666666666666,0.0060710262345679,4.814061469258449e-05,0.1355956404320987,19.54294055365659,1.6429197478215096e-24,0.0179861111111111,0.0001280623070987,0.1236805555555555,10.929260224411763,1.1077200472554566e-16,,,,,
[IDH1->-NRAS],"[1, 11, 25, 38, 40, 47, 54, 60, 63, 76, 79, 82, 96, 115]","[1, 11, 25, 34, 38, 40, 47, 54, 60, 63, 76, 79, 82, 96, 104, 115]",14,0.1166666666666666,0.0433125,0.0002403083043981,0.0733541666666666,4.731952736205838,7.182918327760633e-06,0.0593055555555555,0.0002674189814814,0.0573611111111111,3.5076919012666905,0.0004102509110062,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[1, 11, 25, 38, 40, 47, 54, 63, 76, 79, 82, 96, 115]","[1, 11, 25, 34, 38, 40, 47, 54, 63, 76, 79, 82, 96, 115]",13,0.1083333333333333,0.0050452932098765,3.975366794255353e-05,0.1032880401234568,16.381793001256547,5.221349214743324e-18,0.015,0.0001062596450617,0.0933333333333333,9.054252384847963,7.955645379388692e-12,,,,,
[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[7, 32, 47, 48, 62, 68, 80, 82, 86, 96, 100, 110, 112]","[7, 32, 47, 48, 62, 68, 80, 82, 86, 96, 100, 110, 112]",13,0.1083333333333333,0.0050264816839434,3.963919949986648e-05,0.1033068516493899,16.408417151354396,1.3802821659875948e-18,0.0137797619047619,9.82429256424792e-05,0.0945535714285714,9.539536935642596,6.703397254457447e-13,,,,,
[IDH1-/-IDH2],"[4, 5, 34, 37, 56, 57, 87, 89, 95, 98, 101, 107, 109]","[4, 5, 34, 37, 56, 57, 87, 89, 95, 98, 101, 107, 109]",13,0.1083333333333333,0.0526111111111111,0.0002202815072016,0.0557222222222222,3.754390205827309,7.225637464930253e-05,0.0827777777777777,0.0001362654320987,0.0255555555555555,2.1892354788555655,0.0219478737997256,,,,,
[KRAS-/-NRAS SRSF2->-NRAS SRSF2->-KRAS],"[47, 61, 72, 82, 83, 96, 114, 118]","[47, 61, 72, 82, 83, 96, 114, 118]",8,0.0666666666666666,0.0047375,3.6558385416666665e-05,0.0619291666666666,10.242400001368438,5.625000000000001e-10,0.0113888888888888,7.847222222222221e-05,0.0552777777777777,6.2401150936111955,6.858710562414263e-07,,,,,
[KRAS-/-NRAS IDH2->-NRAS IDH2->-KRAS IDH2->-SRSF2 SRSF2->-KRAS SRSF2->-NRAS],"[61, 72, 83, 114, 118]","[61, 72, 83, 114, 118]",5,0.0416666666666666,0.0003286458333333,2.71675517578125e-06,0.0413380208333333,25.079820752679066,2.9296875e-11,0.0027777777777777,2.1450617283950612e-05,0.0388888888888888,8.39664201465694,9.64506172839506e-07,,,,,
[KRAS-/-NRAS IDH1->-KRAS IDH1->-NRAS IDH1->-SRSF2 SRSF2->-KRAS SRSF2->-NRAS],"[47, 82, 96]","[47, 82, 96]",3,0.025,0.0002102083333333,1.7368590060763886e-06,0.0247897916666666,18.810077916082463,5.859375e-07,0.0018055555555555,1.390817901234568e-05,0.0231944444444444,6.21940500474422,0.0003472222222222,,,,,
[IDH1-/-SRSF2 IDH1-/-IDH2 IDH2->-SRSF2],"[34, 37, 56, 87, 89, 95, 107]","[34, 37, 56, 87, 89, 95, 98, 107, 109]",7,0.0583333333333333,0.0028362268518518,2.2732148709883683e-05,0.0554971064814814,11.639922698753262,3.6277605080406563e-09,0.0107638888888888,7.607542438271604e-05,0.0475694444444444,5.453883886307525,2.9396600175278153e-05,,,,,
[BCOR-/-SRSF2],"[49, 87, 105, 116]","[20, 49, 80, 87, 105, 116]",4,0.0333333333333333,0.0109768518518518,5.827878515089163e-05,0.0223564814814814,2.9285201001459606,0.0096,0.0144444444444444,6.404320987654321e-05,0.0188888888888888,2.360314457302119,0.03,,,,,
[SRSF2->-ETV6],"[62, 108, 110, 118]","[62, 108, 110, 118]",4,0.0333333333333333,0.0119591836734693,6.329196168263224e-05,0.0213741496598639,2.686671495850137,0.0159533527696793,0.0144246031746031,6.737016565885613e-05,0.0189087301587301,2.303713973363092,0.0339285714285714,,,,,
[IDH1->-KIT],"[1, 59, 62, 116]","[1, 59, 62, 116]",4,0.0333333333333333,0.0093176020408163,5.2871990367150264e-05,0.024015731292517,3.302805398739011,0.0044981257809246,0.0114087301587301,5.809673406399598e-05,0.0219246031746031,2.876443726361885,0.010204081632653,,,,,
[IDH1->-DNMT3A],"[62, 110, 112]","[62, 110, 112]",3,0.025,0.008375850340136,4.5646128349298905e-05,0.0166241496598639,2.46057986844131,0.0356101624323198,0.0101190476190476,4.964254220206601e-05,0.0148809523809523,2.1120476888855717,0.064625850340136,,,,,
[NRAS->-PTPN11 SRSF2->-PTPN11 SRSF2->-NRAS],"[11, 50, 63]","[11, 50, 63]",3,0.025,0.0017083333333333,1.3249131944444445e-05,0.0232916666666666,6.398922549021603,0.0003125,0.0041666666666666,2.8935185185185183e-05,0.0208333333333333,3.8729833462074175,0.0046296296296296,,,,,
[NRAS->-NPM1],"[1, 46, 55]","[1, 46, 55]",3,0.025,0.0073842592592592,3.98014188957476e-05,0.0176157407407407,2.792232852906547,0.0166666666666666,0.0097222222222222,4.436728395061728e-05,0.0152777777777777,2.2936585546278225,0.0416666666666666,,,,,
[SRSF2->-NPM1],"[1, 46, 110]","[1, 46, 110]",3,0.025,0.0096896258503401,4.9428894644592534e-05,0.0153103741496598,2.1776864789877255,0.0581632653061224,0.0121031746031746,5.1925862937767706e-05,0.0128968253968253,1.789744180177054,0.1130952380952381,,,,,
[SRSF2->-NPM1 NRAS->-NPM1 SRSF2->-NRAS],"[1, 46]","[1, 46]",2,0.0166666666666666,0.0011875,9.180121527777776e-06,0.0154791666666666,5.108852464575467,0.005,0.0027777777777777,1.9290123456790123e-05,0.0138888888888888,3.162277660168379,0.0277777777777777,,,,,
[IDH2->-BCOR],"[20, 49, 87]","[20, 49, 87]",3,0.025,0.0067916666666666,3.9609375e-05,0.0182083333333333,2.893151662038703,0.0168,0.00875,4.427083333333333e-05,0.01625,2.4422747352320835,0.0349999999999999,,,,,
[IDH2->-BCOR BCOR-/-SRSF2 IDH2->-SRSF2],"[49, 87]","[20, 49, 87]",2,0.0166666666666666,0.0006666666666666,5.324444444444445e-06,0.016,6.933983959883852,0.001536,0.0013888888888888,1.0570987654320989e-05,0.0152777777777777,4.698967117442185,0.0066666666666666,,,,,
[IDH1->-BCOR],"[80, 105, 116]","[80, 87, 105, 116]",3,0.025,0.0078726851851851,4.819154556755829e-05,0.0171273148148148,2.467197140615798,0.039375,0.0106944444444444,5.692515432098766e-05,0.0143055555555555,1.8960623735963815,0.0916666666666666,,,,,
[IDH1->-BCOR BCOR-/-SRSF2 IDH1->-SRSF2],"[105, 116]","[80, 87, 105, 116]",2,0.0166666666666666,0.0016652006172839,1.2814169661398796e-05,0.0150014660493827,4.19071830003126,0.0118703703703703,0.0054166666666666,3.277391975308642e-05,0.01125,1.965116623293138,0.1111111111111111,,,,,
